Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Mpumalanga,Kanyamazane,Assault with the intent to inflict grievous bodily harm,919,977,921,821,817,685,233,199,166,180,174,1,-100.05454545454539,1054.090909090909
Gauteng,Hillbrow,Assault with the intent to inflict grievous bodily harm,1984,1703,1682,1658,1338,1365,1192,898,1026,1010,1069,1,-99.82727272727269,1855.954545454546
Northern Cape,Galeshewe,Assault with the intent to inflict grievous bodily harm,1683,1532,1415,1108,1009,856,772,813,712,859,704,1,-95.6636363636363,1520.4090909090908
Limpopo,Thohoyandou,Assault with the intent to inflict grievous bodily harm,1175,1195,1060,1109,869,700,791,577,492,536,578,1,-76.97272727272723,1210.5000000000002
Gauteng,Atteridgeville,Assault with the intent to inflict grievous bodily harm,1070,1150,1066,932,710,711,804,763,668,365,387,1,-72.66363636363637,1147.5000000000002
Kwazulu/Natal,Ntuzuma,Assault with the intent to inflict grievous bodily harm,1355,1262,1288,1249,1273,924,783,750,773,768,787,1,-71.35454545454542,1376.0454545454545
Eastern Cape,Kwanobuhle,Assault with the intent to inflict grievous bodily harm,950,925,1087,895,668,567,535,520,458,435,387,1,-68.59090909090905,1018.1363636363635
Gauteng,Booysens,Assault with the intent to inflict grievous bodily harm,753,732,673,562,628,556,461,196,244,249,193,1,-62.890909090909055,791.4545454545453
Free State,Sasolburg,Assault with the intent to inflict grievous bodily harm,503,467,432,533,502,418,84,68,55,63,60,1,-57.36363636363636,576.3636363636364
Mpumalanga,Tonga,Assault with the intent to inflict grievous bodily harm,884,822,801,884,855,659,520,480,412,416,424,1,-56.67272727272728,934.0000000000002
Gauteng,Westonaria,Assault with the intent to inflict grievous bodily harm,599,601,445,273,220,215,267,51,63,88,75,1,-56.499999999999964,545.8636363636363
Northern Cape,Rosedale,Assault with the intent to inflict grievous bodily harm,778,793,673,633,377,300,277,286,314,329,326,1,-54.42727272727274,734.5000000000003
Eastern Cape,Grahamstown,Assault with the intent to inflict grievous bodily harm,861,826,837,753,732,659,679,649,653,299,248,1,-54.418181818181814,926.2727272727274
Mpumalanga,Vosman,Assault with the intent to inflict grievous bodily harm,1303,1093,959,1031,770,826,743,671,727,711,773,1,-51.09999999999997,1128.8636363636363
Gauteng,Jhb Central,Assault with the intent to inflict grievous bodily harm,1191,1083,971,1177,1267,1178,1004,855,791,689,680,1,-50.709090909090854,1243.181818181818
Gauteng,Erasmia,Assault with the intent to inflict grievous bodily harm,382,419,521,529,449,238,80,83,77,64,89,1,-49.799999999999976,515.4545454545454
Gauteng,Moroka,Assault with the intent to inflict grievous bodily harm,1301,1400,1284,1197,1138,1082,1024,1021,946,959,886,1,-48.35454545454538,1354.3181818181818
Eastern Cape,Mthatha,Assault with the intent to inflict grievous bodily harm,878,780,773,682,753,764,639,677,140,467,498,1,-47.045454545454504,876.2272727272725
Mpumalanga,Siyabuswa,Assault with the intent to inflict grievous bodily harm,618,680,566,562,375,270,315,330,251,274,282,1,-43.39090909090908,628.1363636363636
Eastern Cape,Queenstown,Assault with the intent to inflict grievous bodily harm,489,459,443,468,548,546,540,217,150,103,121,1,-42.3,582.7727272727273
North West,Rustenburg,Assault with the intent to inflict grievous bodily harm,808,789,859,997,951,579,610,620,564,521,499,1,-41.790909090909096,917.7727272727274
Northern Cape,Upington,Assault with the intent to inflict grievous bodily harm,705,618,583,557,523,415,360,362,311,299,325,1,-41.31818181818181,666.4090909090909
Eastern Cape,Gelvandale,Assault with the intent to inflict grievous bodily harm,671,769,747,617,500,572,531,526,417,367,312,1,-41.30909090909089,754.6363636363637
Mpumalanga,Kabokweni,Assault with the intent to inflict grievous bodily harm,459,565,472,525,639,544,389,230,197,163,212,1,-40.98181818181816,604.4545454545454
Gauteng,Mamelodi,Assault with the intent to inflict grievous bodily harm,935,637,377,382,373,369,360,332,362,340,313,1,-40.509090909090894,637.090909090909
Gauteng,Tembisa,Assault with the intent to inflict grievous bodily harm,1073,992,785,802,798,730,754,683,694,703,585,1,-37.736363636363606,970.409090909091
Eastern Cape,New Brighton,Assault with the intent to inflict grievous bodily harm,930,881,728,719,825,764,644,684,619,522,503,1,-37.71818181818177,899.4090909090909
Mpumalanga,Nelspruit,Assault with the intent to inflict grievous bodily harm,659,461,488,459,476,423,334,271,252,255,246,1,-37.40909090909091,580.1363636363637
North West,Phokeng,Assault with the intent to inflict grievous bodily harm,568,512,555,568,532,371,401,350,258,235,270,1,-36.87272727272727,604.3636363636364
Gauteng,Meadowlands,Assault with the intent to inflict grievous bodily harm,1095,1034,896,855,899,757,755,701,706,724,746,1,-36.427272727272694,1015.590909090909
Gauteng,Wierdabrug,Assault with the intent to inflict grievous bodily harm,299,343,370,418,435,441,147,78,88,72,86,1,-36.027272727272724,432.59090909090907
Eastern Cape,Mdantsane,Assault with the intent to inflict grievous bodily harm,780,728,616,591,636,559,570,502,469,412,381,1,-35.85454545454542,746.9090909090911
Western Cape,Strand,Assault with the intent to inflict grievous bodily harm,431,444,485,272,153,118,123,142,168,151,134,1,-35.43636363636365,415.45454545454555
Gauteng,Sunnyside,Assault with the intent to inflict grievous bodily harm,360,354,303,337,302,297,231,117,69,45,74,1,-35.26363636363636,402.5909090909091
Mpumalanga,Embalenhle,Assault with the intent to inflict grievous bodily harm,609,574,690,598,517,448,332,366,321,317,394,1,-35.081818181818186,645.0454545454546
Eastern Cape,Duncan Village,Assault with the intent to inflict grievous bodily harm,745,828,853,756,730,663,652,594,607,507,460,1,-34.990909090909064,847.2272727272726
Eastern Cape,Madeira,Assault with the intent to inflict grievous bodily harm,0,0,0,0,0,0,0,0,227,153,158,1,-34.500000000000036,489.8333333333334
Kwazulu/Natal,Kwadabeka,Assault with the intent to inflict grievous bodily harm,641,560,543,585,375,286,317,326,346,310,326,1,-34.018181818181795,589.6363636363635
Mpumalanga,Kwaggafontein,Assault with the intent to inflict grievous bodily harm,499,420,323,377,318,313,257,170,119,159,201,1,-32.91818181818181,451.5000000000001
Mpumalanga,Barberton,Assault with the intent to inflict grievous bodily harm,445,513,500,588,504,436,418,318,244,272,206,1,-32.300000000000004,565.5000000000001
Eastern Cape,Humansdorp,Assault with the intent to inflict grievous bodily harm,469,442,416,415,424,301,229,217,216,188,204,1,-32.10909090909089,480.63636363636357
Limpopo,Dennilton,Assault with the intent to inflict grievous bodily harm,373,426,385,293,313,270,204,148,152,130,126,1,-31.972727272727262,416.2272727272727
Gauteng,Protea Glen,Assault with the intent to inflict grievous bodily harm,565,616,686,628,579,444,357,305,364,410,415,1,-30.98181818181814,642.9999999999998
Eastern Cape,Port Alfred,Assault with the intent to inflict grievous bodily harm,390,378,186,70,56,48,53,56,63,58,49,1,-30.772727272727273,281.77272727272737
Gauteng,Krugersdorp,Assault with the intent to inflict grievous bodily harm,659,693,601,732,667,609,465,409,452,423,463,1,-30.499999999999986,713.6818181818181
Eastern Cape,Kwazakele,Assault with the intent to inflict grievous bodily harm,942,832,849,785,753,685,754,679,697,601,591,1,-30.418181818181814,894.6363636363635
Gauteng,Kliptown,Assault with the intent to inflict grievous bodily harm,722,788,715,628,601,591,492,477,481,514,500,1,-30.172727272727276,742.5909090909092
Western Cape,Mitchells Plain,Assault with the intent to inflict grievous bodily harm,905,793,793,745,759,859,819,756,573,567,546,1,-29.790909090909054,886.681818181818
Gauteng,Roodepoort,Assault with the intent to inflict grievous bodily harm,720,682,725,743,841,687,564,573,605,502,406,1,-29.699999999999957,789.2272727272726
Mpumalanga,Masoyi,Assault with the intent to inflict grievous bodily harm,520,508,397,368,286,374,352,202,273,220,231,1,-29.409090909090892,486.2272727272727
Gauteng,Katlehong,Assault with the intent to inflict grievous bodily harm,599,548,484,509,560,520,522,354,316,335,304,1,-28.89999999999999,603.6818181818182
Eastern Cape,Cambridge,Assault with the intent to inflict grievous bodily harm,448,460,496,463,447,420,429,406,288,217,167,1,-28.48181818181819,527.9545454545456
Kwazulu/Natal,Empangeni,Assault with the intent to inflict grievous bodily harm,874,837,889,923,785,657,745,719,702,681,580,1,-28.209090909090886,903.9545454545454
Kwazulu/Natal,Cato Manor,Assault with the intent to inflict grievous bodily harm,432,435,402,386,310,333,351,258,167,171,224,1,-27.4181818181818,452.45454545454544
Limpopo,Polokwane,Assault with the intent to inflict grievous bodily harm,421,388,366,374,287,284,438,185,183,175,144,1,-27.390909090909084,431.95454545454555
Eastern Cape,Buffalo Flats,Assault with the intent to inflict grievous bodily harm,540,534,523,447,444,446,401,340,334,298,292,1,-27.34545454545452,554.8181818181816
Kwazulu/Natal,Durban Central,Assault with the intent to inflict grievous bodily harm,541,518,512,418,355,364,325,310,333,295,282,1,-26.999999999999968,521.6363636363635
Eastern Cape,Kamesh,Assault with the intent to inflict grievous bodily harm,592,560,467,400,414,397,360,352,326,346,291,1,-26.672727272727244,542.9090909090908
Eastern Cape,Graaff-Reinet,Assault with the intent to inflict grievous bodily harm,506,476,438,397,395,363,332,337,248,226,274,1,-26.481818181818188,495.3181818181819
Gauteng,Khutsong,Assault with the intent to inflict grievous bodily harm,411,542,501,506,473,437,379,248,302,280,281,1,-26.409090909090903,528.4090909090909
Eastern Cape,Mqanduli,Assault with the intent to inflict grievous bodily harm,414,380,376,327,286,235,246,210,189,191,152,1,-26.37272727272725,405.1363636363635
Gauteng,Lenasia,Assault with the intent to inflict grievous bodily harm,627,645,553,561,498,499,444,402,380,409,422,1,-25.99999999999998,624.5454545454544
North West,Mmabatho,Assault with the intent to inflict grievous bodily harm,619,659,589,625,651,574,533,490,428,437,420,1,-25.036363636363607,672.9090909090908
