Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Kwazulu/Natal,Umlazi,Attempted murder,437,450,346,352,314,291,257,259,202,245,227,1,-23.136363636363622,422.9545454545455
Kwazulu/Natal,Ntuzuma,Attempted murder,244,208,214,221,186,81,78,82,100,67,108,1,-17.927272727272715,234.0909090909091
Mpumalanga,Kanyamazane,Attempted murder,85,117,74,80,75,48,20,13,13,15,9,1,-10.545454545454541,102.63636363636363
Kwazulu/Natal,Esikhaleni,Attempted murder,167,130,97,102,70,61,43,45,47,45,65,1,-10.372727272727277,131.1363636363637
Gauteng,Hillbrow,Attempted murder,183,164,103,82,70,63,53,63,53,71,79,1,-9.97272727272727,139.31818181818184
Northern Cape,Galeshewe,Attempted murder,134,137,92,68,47,47,46,44,54,40,35,1,-9.509090909090908,115.1818181818182
Gauteng,Erasmia,Attempted murder,82,80,82,110,97,65,31,15,21,19,10,1,-9.481818181818179,103.04545454545453
Gauteng,Tembisa,Attempted murder,174,194,152,125,120,100,86,82,70,106,127,1,-8.663636363636353,164.77272727272725
Kwazulu/Natal,Durban Central,Attempted murder,90,103,86,70,48,31,25,36,28,22,18,1,-8.627272727272727,93.7727272727273
Gauteng,Mamelodi,Attempted murder,119,107,55,39,56,28,33,34,27,26,18,1,-8.599999999999998,92.27272727272728
Eastern Cape,Madeira,Attempted murder,0,0,0,0,0,0,0,0,44,31,27,1,-8.500000000000012,110.50000000000007
Gauteng,Moroka,Attempted murder,172,147,104,111,105,97,84,81,69,75,80,1,-8.490909090909083,144.7272727272727
Free State,Sasolburg,Attempted murder,91,53,59,55,68,57,8,13,7,4,7,1,-8.327272727272724,80.00000000000001
Gauteng,Booysens,Attempted murder,92,98,63,66,54,39,37,20,22,28,28,1,-7.563636363636363,87.54545454545453
Eastern Cape,Mthatha,Attempted murder,142,85,82,68,71,69,71,75,11,45,52,1,-7.354545454545455,106.8636363636364
Kwazulu/Natal,Kwamsane,Attempted murder,109,87,108,136,103,85,52,63,60,63,46,1,-6.8363636363636315,117.09090909090908
Kwazulu/Natal,Sundumbili,Attempted murder,88,74,62,96,59,42,19,32,36,31,28,1,-6.527272727272725,84.18181818181817
Gauteng,Rabie Ridge,Attempted murder,87,93,77,71,54,34,26,34,31,37,37,1,-6.490909090909089,85.27272727272728
Kwazulu/Natal,Kwadukuza,Attempted murder,123,157,138,112,81,73,81,71,66,92,92,1,-6.481818181818176,131.13636363636363
Eastern Cape,Duncan Village,Attempted murder,104,72,58,47,46,15,31,37,23,29,24,1,-6.472727272727272,76.54545454545456
Kwazulu/Natal,Kwambonambi,Attempted murder,92,81,74,55,51,35,23,27,40,23,38,1,-6.254545454545452,80.27272727272727
Kwazulu/Natal,Cato Manor,Attempted murder,76,65,62,132,50,40,34,41,41,32,21,1,-6.072727272727273,84.36363636363637
Gauteng,Jhb Central,Attempted murder,121,109,106,90,57,45,36,51,67,62,70,1,-5.99090909090909,103.95454545454547
Gauteng,Katlehong,Attempted murder,88,91,77,72,60,73,67,37,42,32,47,1,-5.536363636363633,90.04545454545455
Gauteng,Westonaria,Attempted murder,66,41,80,53,39,54,41,11,13,17,28,1,-5.172727272727271,66.13636363636364
Gauteng,Wierdabrug,Attempted murder,58,71,69,61,91,80,29,25,28,32,27,1,-5.163636363636361,77.72727272727273
Mpumalanga,Masoyi,Attempted murder,101,97,50,33,30,40,35,32,37,40,41,1,-5.127272727272728,74.36363636363639
Gauteng,Akasia,Attempted murder,56,78,61,86,91,45,42,43,33,26,30,1,-5.063636363636362,79.04545454545455
Mpumalanga,Siyabuswa,Attempted murder,71,51,47,56,34,14,19,10,21,22,20,1,-5.054545454545451,58.45454545454545
Kwazulu/Natal,Kwadabeka,Attempted murder,84,75,73,86,43,31,29,31,42,54,35,1,-4.963636363636364,77.81818181818183
Gauteng,Sandton,Attempted murder,49,46,57,62,35,30,24,16,22,11,10,1,-4.936363636363635,57.590909090909086
Gauteng,Temba,Attempted murder,127,128,102,76,89,85,51,54,61,81,97,1,-4.936363636363634,111.13636363636364
Gauteng,Krugersdorp,Attempted murder,53,57,82,68,38,25,23,21,26,27,29,1,-4.7,64.31818181818183
Gauteng,Eersterust,Attempted murder,42,30,41,85,55,28,11,12,11,7,16,1,-4.5636363636363635,53.54545454545454
Gauteng,Lyttelton,Attempted murder,40,61,56,39,35,25,16,16,18,14,16,1,-4.427272727272726,52.681818181818194
Kwazulu/Natal,Nongoma,Attempted murder,60,69,69,57,75,35,39,38,28,29,38,1,-4.245454545454543,70.04545454545455
Gauteng,Garsfontein,Attempted murder,31,60,33,28,29,13,9,6,12,9,5,1,-4.19090909090909,42.31818181818182
Northern Cape,Douglas,Attempted murder,59,53,38,21,24,20,7,5,13,4,34,1,-4.045454545454544,45.5
Limpopo,Polokwane,Attempted murder,41,48,41,34,35,20,40,15,13,8,8,1,-4.018181818181818,47.63636363636364
Gauteng,Brooklyn,Attempted murder,35,30,52,28,20,8,6,9,1,2,11,1,-3.972727272727272,38.22727272727273
Free State,Kagisanong,Attempted murder,84,97,61,59,46,41,40,45,53,39,56,1,-3.9090909090909087,76.00000000000001
Northern Cape,Keimoes,Attempted murder,41,49,41,43,29,12,11,10,20,15,13,1,-3.8454545454545443,45.04545454545454
Gauteng,Roodepoort,Attempted murder,103,79,84,118,103,77,64,46,86,67,64,1,-3.818181818181815,100.0909090909091
Kwazulu/Natal,Bayview,Attempted murder,43,40,48,41,16,20,10,19,8,9,18,1,-3.8090909090909073,43.77272727272727
Free State,Bloemspruit,Attempted murder,95,119,62,60,72,57,71,73,61,46,66,1,-3.772727272727272,89.95454545454548
Limpopo,Westenburg,Attempted murder,0,0,0,0,0,0,0,19,37,18,13,1,-3.699999999999991,53.19999999999992
Gauteng,Sunnyside,Attempted murder,53,50,35,27,25,34,6,15,7,15,26,1,-3.654545454545453,44.9090909090909
Free State,Mangaung,Attempted murder,51,39,58,51,43,46,44,29,29,13,18,1,-3.627272727272723,56.40909090909089
Eastern Cape,Butterworth,Attempted murder,118,55,53,66,51,51,50,44,48,54,53,1,-3.5363636363636335,76.13636363636363
Gauteng,Vosloorus,Attempted murder,64,65,67,53,60,48,33,29,37,33,45,1,-3.527272727272725,66.18181818181817
Mpumalanga,Vosman,Attempted murder,76,69,53,50,51,38,34,34,36,36,45,1,-3.5181818181818185,65.04545454545456
Gauteng,Atteridgeville,Attempted murder,103,120,71,95,85,75,50,55,47,84,92,1,-3.5090909090909057,97.27272727272728
Kwazulu/Natal,Montclair,Attempted murder,48,39,27,40,31,21,18,10,21,10,14,1,-3.4272727272727255,42.49999999999999
Mpumalanga,Pienaar,Attempted murder,0,0,0,0,0,0,39,33,33,19,29,1,-3.399999999999999,57.8
Kwazulu/Natal,Mtubatuba,Attempted murder,52,40,37,24,29,24,19,14,21,17,16,1,-3.1818181818181808,42.54545454545454
Mpumalanga,Nelspruit,Attempted murder,35,48,47,34,24,35,25,27,28,9,11,1,-3.1454545454545437,45.09090909090909
Eastern Cape,Kwanobuhle,Attempted murder,52,40,43,53,26,27,21,28,28,17,22,1,-3.109090909090908,48.00000000000001
Kwazulu/Natal,Nquthu,Attempted murder,43,40,50,19,20,16,18,22,19,17,15,1,-2.9181818181818184,39.95454545454547
Kwazulu/Natal,Kwamakhutha,Attempted murder,70,54,62,47,53,49,42,32,25,48,41,1,-2.918181818181816,62.13636363636365
Mpumalanga,Piet Retief,Attempted murder,34,34,32,27,42,20,21,16,8,14,9,1,-2.909090909090909,37.909090909090914
Gauteng,Boksburg North,Attempted murder,38,31,30,32,24,16,8,16,12,13,9,1,-2.8999999999999995,35.31818181818183
Eastern Cape,Mbizana,Attempted murder,58,42,51,24,32,29,30,32,30,22,21,1,-2.854545454545454,48.0
Gauteng,Mabopane,Attempted murder,76,77,45,37,34,34,29,28,33,46,50,1,-2.8454545454545443,58.68181818181819
Gauteng,Sophia Town,Attempted murder,52,51,52,48,67,37,14,27,33,32,35,1,-2.845454545454544,54.954545454545446
Kwazulu/Natal,Ntambanana,Attempted murder,36,49,28,21,34,28,38,24,18,12,8,1,-2.799999999999997,40.90909090909089
Northern Cape,Kakamas,Attempted murder,34,39,30,29,21,25,17,6,10,15,14,1,-2.7818181818181813,35.72727272727273
Limpopo,Dennilton,Attempted murder,47,30,36,41,32,12,17,24,12,27,13,1,-2.754545454545452,40.22727272727272
Gauteng,Villieria,Attempted murder,22,34,27,20,21,14,7,3,10,5,5,1,-2.7272727272727257,28.90909090909091
Gauteng,Ga-Rankuwa,Attempted murder,52,44,25,52,42,35,26,8,21,18,37,1,-2.6818181818181817,46.13636363636365
Western Cape,Strand,Attempted murder,24,50,43,35,3,3,11,18,17,16,13,1,-2.681818181818181,34.59090909090909
Eastern Cape,Kamesh,Attempted murder,43,44,32,19,22,18,27,37,20,9,11,1,-2.681818181818181,39.04545454545455
Limpopo,Nebo,Attempted murder,35,38,29,26,26,26,25,14,12,12,12,1,-2.681818181818181,36.5909090909091
Kwazulu/Natal,Hillcrest,Attempted murder,48,29,50,36,38,24,22,18,21,28,18,1,-2.663636363636362,43.499999999999986
Gauteng,Etwatwa,Attempted murder,37,56,46,35,39,30,18,28,22,24,26,1,-2.6363636363636354,46.00000000000001
Eastern Cape,Humansdorp,Attempted murder,32,33,16,22,26,14,18,13,8,7,5,1,-2.6272727272727265,30.772727272727273
Northern Cape,Modder River,Attempted murder,36,31,33,26,30,24,8,16,18,9,14,1,-2.590909090909089,35.22727272727272
Northern Cape,Hartswater,Attempted murder,44,22,14,10,9,10,6,7,3,4,10,1,-2.5818181818181816,25.54545454545455
Gauteng,Vanderbijlpark,Attempted murder,55,43,32,30,30,25,24,25,28,24,19,1,-2.5818181818181807,43.36363636363636
