,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Aberdeen,Eastern Cape,,,Aberdeen,,,Aberdeen,Eastern Cape,,,,Free State,,,Kwandengane,Eastern Cape,,,,,,,,,ALICE CC,EASTERN CAPE,,Acornhoek Cc,,,,Total Sexual Offences,,,Total Sexual Offences,,,,ALICE CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Graaff-Reinet Cc,Aberdeen,,Eastern Cape,Graaff-Reinet Cc,Aberdeen
,Addo,Eastern Cape,,,Acornhoek,,,Acornhoek,Mpumalanga,,,,Gauteng,,,Madeira,Eastern Cape,,,,,,,,,ALIWAL NORTH CC,EASTERN CAPE,,Alexandra Cc,,,,Attempted murder,,,Attempted murder,,,,ALIWAL NORTH CC,EASTERN CAPE,,,,,,,,,,Mpumalanga,Acornhoek Cc,Acornhoek,,Mpumalanga,Acornhoek Cc,Acornhoek
,Adelaide,Eastern Cape,,,Actonville,,,Actonville,Gauteng,,,,KwaZulu-Natal,,,OR Tambo International Airport,Gauteng,,,,,,,,,BUTTERWORTH CC,EASTERN CAPE,,Alice Cc,,,,Assault with the intent to inflict grievous bodily harm,,,Assault with the intent to inflict grievous bodily harm,,,,BUTTERWORTH CC,EASTERN CAPE,,,,,,,,,,Gauteng,Benoni Cc,Actonville,,Gauteng,Benoni Cc,Actonville
,Afsondering,Eastern Cape,,,Addo,,,Addo,Eastern Cape,,,,Limpopo,,,King Shaka International Airport,KwaZulu-Natal,,,,,,,,,COFIMVABA CC,EASTERN CAPE,,Aliwal North Cc,,,,Common assault,,,Common assault,,,,COFIMVABA CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Uitenhage Cc,Addo,,Eastern Cape,Uitenhage Cc,Addo
,Alexandria,Eastern Cape,,,Adelaide,,,Adelaide,Eastern Cape,,,,Mpumalanga,,,Maydon Wharf,KwaZulu-Natal,,,,,,,,,CRADOCK CC,EASTERN CAPE,,Balfour Cc,,,,Common robbery,,,Common robbery,,,,CRADOCK CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Cradock Cc,Adelaide,,Eastern Cape,Cradock Cc,Adelaide
,Algoapark,Eastern Cape,,,Afsondering,,,Afsondering,Eastern Cape,,,,North West,,,Mashashane,Limpopo,,,,,,,,,EAST LONDON CC,EASTERN CAPE,,Beaufort West Cc,,,,Robbery with aggravating circumstances,,,Robbery with aggravating circumstances,,,,EAST LONDON CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Matatiele Cc,Afsondering,,Eastern Cape,Matatiele Cc,Afsondering
,Alice,Eastern Cape,,,Aggeneys,,,Aggeneys,Northern Cape,,,,Northern Cape,,,Sebayeng,Limpopo,,,,,,,,,ELLIOT CC,EASTERN CAPE,,Bela Bela Cc,,,,Arson,,,Total Contact Crimes ( Crimes Against The  Person),,,,ELLIOT CC,EASTERN CAPE,,,,,,,,,,Northern Cape,Pofadder Cc,Aggeneys,,Northern Cape,Pofadder Cc,Aggeneys
,Alicedale,Eastern Cape,,,Akasia,,,Akasia,Gauteng,,,,Western Cape,,,Lentegeur,Western Cape,,,,,,,,,GRAAFF-REINET CC,EASTERN CAPE,,Belfast Cc,,,,Malicious damage to property,,,Arson,,,,GRAAFF-REINET CC,EASTERN CAPE,,,,,,,,,,Gauteng,Ga-Rankuwa Cc,Akasia,,Gauteng,Ga-Rankuwa Cc,Akasia
,Aliwal North,Eastern Cape,,,Albertinia,,,Albertinia,Western Cape,,,,,,,,,,,,,,,,,GRAHAMSTOWN CC,EASTERN CAPE,,Bellville Cc,,,,Burglary at non-residential premises,,,Malicious injury to property,,,,GRAHAMSTOWN CC,EASTERN CAPE,,,,,,,,,,Western Cape,Da Gamaskop Cc,Albertinia,,Western Cape,Da Gamaskop Cc,Albertinia
,Avondale,Eastern Cape,,,Alberton,,,Alberton,Gauteng,,,,,,,,,,,,,,,,,HUMANSDORP CC,EASTERN CAPE,,Benoni Cc,,,,Burglary at residential premises,,,Total Contact-Related Crimes,,,,HUMANSDORP CC,EASTERN CAPE,,,,,,,,,,Gauteng,Germiston Cc,Alberton,,Gauteng,Germiston Cc,Alberton
,Balfour,Eastern Cape,,,Alexander Bay,,,Alexander Bay,Northern Cape,,,,,,,,,,,,,,,,,KING WILLIAM'S T CC,EASTERN CAPE,,Bethlehem Cc,,,,Theft of motor vehicle and motorcycle,,,Burglary at non-residential premises,,,,KING WILLIAM'S T CC,EASTERN CAPE,,,,,,,,,,Northern Cape,Port Nolloth Cc,Alexander Bay,,Northern Cape,Port Nolloth Cc,Alexander Bay
,Barkly East,Eastern Cape,,,Alexandra,,,Alexandra,Gauteng,,,,,,,,,,,,,,,,,MATATIELE CC,EASTERN CAPE,,Bishop Lavis Cc,,,,Theft out of or from motor vehicle,,,Burglary at residential premises,,,,MATATIELE CC,EASTERN CAPE,,,,,,,,,,Gauteng,Alexandra Cc,Alexandra,,Gauteng,Alexandra Cc,Alexandra
,Bathurst,Eastern Cape,,,Alexandra Road,,,Alexandra Road,Kwazulu/Natal,,,,,,,,,,,,,,,,,MDANTSANE CC,EASTERN CAPE,,Brakpan Cc,,,,Stock-theft,,,Theft of motor vehicle and motorcycle,,,,MDANTSANE CC,EASTERN CAPE,,,,,,,,,,Kwazulu/Natal,Pietermaritzburg Cc,Alexandra Road,,Kwazulu/Natal,Pietermaritzburg Cc,Alexandra Road
,Baviaanskloof,Eastern Cape,,,Alexandria,,,Alexandria,Eastern Cape,,,,,,,,,,,,,,,,,MOTHERWELL CC,EASTERN CAPE,,Brighton Beach Cc,,,,All theft not mentioned elsewhere,,,Theft out of or from motor vehicle,,,,MOTHERWELL CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Port Alfred Cc,Alexandria,,Eastern Cape,Port Alfred Cc,Alexandria
,Beacon Bay,Eastern Cape,,,Algoapark,,,Algoapark,Eastern Cape,,,,,,,,,,,,,,,,,MOUNT AYLIFF CC,EASTERN CAPE,,Brits Cc,,,,Commercial crime,,,Stock-theft,,,,MOUNT AYLIFF CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Mount Road Cc,Algoapark,,Eastern Cape,Mount Road Cc,Algoapark
,Bedford,Eastern Cape,,,Alice,,,Alice,Eastern Cape,,,,,,,,,,,,,,,,,MOUNT FLETCHER CC,EASTERN CAPE,,Bronkhorstspruit Cc,,,,Shoplifting,,,Total Property-Related Crimes,,,,MOUNT FLETCHER CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Alice Cc,Alice,,Eastern Cape,Alice Cc,Alice
,Bell,Eastern Cape,,,Alicedale,,,Alicedale,Eastern Cape,,,,,,,,,,,,,,,,,MOUNT FRERE CC,EASTERN CAPE,,Bultfontein Cc,,,,Carjacking,,,Illegal possession of firearms and ammunition,,,,MOUNT FRERE CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Grahamstown Cc,Alicedale,,Eastern Cape,Grahamstown Cc,Alicedale
,Berlin,Eastern Cape,,,Aliwal North,,,Aliwal North,Eastern Cape,,,,,,,,,,,,,,,,,MOUNT ROAD CC,EASTERN CAPE,,Butterworth Cc,,,,Truck hijacking,,,Drug-related crime,,,,MOUNT ROAD CC,EASTERN CAPE,,,,,,,,,,Eastern Cape,Aliwal North Cc,Aliwal North,,Eastern Cape,Aliwal North Cc,Aliwal North
,Bethelsdorp,Eastern Cape,,,Allanridge,,,Allanridge,Free State,,,,,,,,,,,,,,,,,MQANDULI CC,EASTERN CAPE,,Caledon Cc,,,,Robbery of cash in transit,,,Driving under the influence of alcohol or drugs,,,,MQANDULI CC,EASTERN CAPE,,,,,,,,,,Free State,Welkom Cc,Allanridge,,Free State,Welkom Cc,Allanridge
,Bhisho,Eastern Cape,,,Alldays,,,Alldays,Limpopo,,,,,,,,,,,,,,,,,MTHATHA CC,EASTERN CAPE,,Calvinia Cc,,,,Bank robbery,,,Sexual offences due to police action,,,,MTHATHA CC,EASTERN CAPE,,,,,,,,,,Limpopo,Seshego Cc,Alldays,,Limpopo,Seshego Cc,Alldays
,Bholo,Eastern Cape,,,Amalia,,,Amalia,North West,,,,,,,,,,,,,,,,,PEDDIE CC,EASTERN CAPE,,Cape Town Central Cc,,,,Robbery at residential premises,,,Total Crime Detected As A Result Of Police Action ,,,,PEDDIE CC,EASTERN CAPE,,,,,,,,,,North West,Wolmaransstad Cc,Amalia,,North West,Wolmaransstad Cc,Amalia
,Bholothwa,Eastern Cape,,,Amangwe,,,Amangwe,Kwazulu/Natal,,,,,,,,,,,,,,,,,PORT ALFRED CC,EASTERN CAPE,,Carletonville Cc,,,,Robbery at non-residential premises,,,All theft not mentioned elsewhere,,,,PORT ALFRED CC,EASTERN CAPE,,,,,,,,,,Kwazulu/Natal,Estcourt Cc,Amangwe,,Kwazulu/Natal,Estcourt Cc,Amangwe
,Bityi,Eastern Cape,,,Amanzimtoti,,,Amanzimtoti,Kwazulu/Natal,,,,,,,,,,,,,,,,,PORT ST JOHNS CC,EASTERN CAPE,,Carnarvon Cc,,,,,,,Commercial crime,,,,PORT ST JOHNS CC,EASTERN CAPE,,,,,,,,,,Kwazulu/Natal,Umlazi Cc,Amanzimtoti,,Kwazulu/Natal,Umlazi Cc,Amanzimtoti
,Bluewater,Eastern Cape,,,Amersfoort,,,Amersfoort,Mpumalanga,,,,,,,,,,,,,,,,,QUEENSTOWN CC,EASTERN CAPE,,Ceres Cc,,,,,,,Shoplifting,,,,QUEENSTOWN CC,EASTERN CAPE,,,,,,,,,,Mpumalanga,Standerton Cc,Amersfoort,,Mpumalanga,Standerton Cc,Amersfoort
,Bridge Camp,Eastern Cape,,,Amsterdam,,,Amsterdam,Mpumalanga,,,,,,,,,,,,,,,,,UITENHAGE CC,EASTERN CAPE,,Chatsworth Cc,,,,,,,Total Other Serious Crimes,,,,UITENHAGE CC,EASTERN CAPE,,,,,,,,,,Mpumalanga,Piet Retief Cc,Amsterdam,,Mpumalanga,Piet Retief Cc,Amsterdam
,Buffalo Flats,Eastern Cape,,,Apel,,,Apel,Limpopo,,,,,,,,,,,,,,,,,WHITTLESEA CC,EASTERN CAPE,,Claremont Cc,,,,,,,Carjacking,,,,WHITTLESEA CC,EASTERN CAPE,,,,,,,,,,Limpopo,Lebowakgomo Cc,Apel,,Limpopo,Lebowakgomo Cc,Apel
