Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Kwazulu/Natal,Ntuzuma,Murder,241,254,236,300,235,97,76,64,64,97,76,1,-23.636363636363633,276.3636363636364
Eastern Cape,Mthatha,Murder,223,143,149,135,139,142,151,144,40,92,122,1,-9.145454545454546,180.27272727272728
Gauteng,Erasmia,Murder,70,71,69,106,90,75,13,5,8,19,10,1,-8.818181818181817,92.81818181818183
Kwazulu/Natal,Esikhaleni,Murder,157,117,79,78,45,53,36,53,52,51,45,1,-8.763636363636364,113.45454545454547
Gauteng,Katlehong,Murder,104,108,111,113,84,97,85,40,33,50,35,1,-8.690909090909088,121.63636363636364
Eastern Cape,Madeira,Murder,0,0,0,0,0,0,0,0,53,39,37,1,-8.000000000000014,115.00000000000011
Kwazulu/Natal,Umlazi,Murder,195,218,194,243,175,139,144,122,133,170,155,1,-7.7090909090908895,210.18181818181804
Gauteng,Westonaria,Murder,78,62,79,81,55,68,54,15,18,17,21,1,-7.100000000000001,85.31818181818184
Mpumalanga,Kanyamazane,Murder,57,75,47,49,46,30,10,10,6,7,6,1,-6.945454545454545,65.90909090909092
Kwazulu/Natal,Inanda,Murder,239,215,192,227,175,156,157,170,164,179,169,1,-6.454545454545445,218.0
Gauteng,Tembisa,Murder,116,131,131,148,122,111,76,78,89,79,94,1,-5.727272727272722,135.45454545454547
Western Cape,Strand,Murder,50,70,73,36,9,4,6,10,13,14,18,1,-5.627272727272723,55.681818181818166
Kwazulu/Natal,Durban Central,Murder,91,92,76,71,48,38,42,39,41,29,55,1,-5.518181818181816,84.13636363636364
Kwazulu/Natal,Plessislaer,Murder,137,116,130,133,138,124,91,105,92,87,94,1,-4.981818181818176,138.27272727272728
Gauteng,Mamelodi,Murder,70,54,38,22,14,24,16,16,13,16,14,1,-4.700000000000001,50.500000000000014
Kwazulu/Natal,Empangeni,Murder,118,94,90,96,77,87,58,68,66,69,76,1,-4.154545454545456,102.50000000000004
Free State,Sasolburg,Murder,38,37,23,31,26,31,3,5,3,1,4,1,-4.08181818181818,38.77272727272726
Eastern Cape,Duncan Village,Murder,78,84,100,79,71,67,75,67,67,39,49,1,-4.0363636363636335,90.72727272727272
Western Cape,Khayelitsha,Murder,219,198,171,121,124,124,160,168,146,146,161,1,-4.027272727272724,178.13636363636368
Gauteng,Booysens,Murder,59,60,47,56,51,55,41,27,27,32,20,1,-3.954545454545452,62.95454545454545
