Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Kwazulu/Natal,Ntuzuma,Sexual Offences,598,557,546,500,441,291,225,232,208,198,162,1,-48.927272727272694,604.4545454545454
Eastern Cape,Madeira,Sexual Offences,0,0,0,0,0,0,0,0,135,65,46,1,-44.50000000000006,482.5000000000004
Kwazulu/Natal,Durban Central,Sexual Offences,241,236,279,1086,914,762,134,124,104,91,96,1,-41.21818181818178,575.8181818181818
Gauteng,Jhb Central,Sexual Offences,258,194,277,1371,248,230,160,148,131,141,138,1,-34.39999999999999,471.63636363636374
Gauteng,Hillbrow,Sexual Offences,336,301,710,519,229,213,183,179,168,213,141,1,-33.4454545454545,457.4090909090907
Western Cape,Mitchells Plain,Sexual Offences,476,465,407,488,450,456,434,380,257,213,179,1,-28.863636363636346,526.5909090909091
Gauteng,Mamelodi,Sexual Offences,387,259,128,109,96,93,69,65,60,40,36,1,-26.818181818181813,256.0909090909091
Gauteng,Krugersdorp,Sexual Offences,219,193,247,648,218,156,124,136,86,80,66,1,-25.6181818181818,325.63636363636357
Gauteng,Katlehong,Sexual Offences,340,321,286,296,316,336,254,185,120,118,113,1,-24.8090909090909,368.1363636363637
Kwazulu/Natal,Inanda,Sexual Offences,527,509,476,497,501,417,385,401,347,313,316,1,-23.03636363636362,541.4545454545455
Mpumalanga,Kanyamazane,Sexual Offences,216,208,204,237,236,213,61,72,62,46,34,1,-22.62727272727272,257.5909090909091
Eastern Cape,Mount Road,Sexual Offences,58,65,315,791,63,64,71,71,48,52,25,1,-22.27272727272727,258.90909090909093
Gauteng,Booysens,Sexual Offences,241,205,308,178,181,185,136,82,71,64,63,1,-21.836363636363632,265.0
Eastern Cape,Mthatha,Sexual Offences,664,223,240,203,247,262,252,302,50,250,243,1,-21.49090909090908,374.3636363636364
Gauteng,Moroka,Sexual Offences,376,337,315,363,302,292,264,218,215,198,162,1,-20.490909090909085,379.0
Gauteng,Tembisa,Sexual Offences,356,378,341,346,293,294,242,261,244,158,192,1,-20.109090909090888,382.8181818181818
Northern Cape,Galeshewe,Sexual Offences,295,286,260,169,157,142,114,129,120,105,130,1,-19.018181818181812,268.4545454545455
Gauteng,Westonaria,Sexual Offences,150,208,194,197,188,166,182,40,33,40,51,1,-17.9090909090909,221.27272727272728
Gauteng,Erasmia,Sexual Offences,132,172,133,141,148,123,23,13,14,26,25,1,-16.88181818181818,170.7727272727273
Kwazulu/Natal,Umlazi,Sexual Offences,465,475,458,475,481,416,450,392,338,340,319,1,-16.609090909090902,502.0454545454547
Gauteng,Sebokeng,Sexual Offences,246,203,176,189,177,149,112,87,98,90,74,1,-16.499999999999993,228.0454545454545
Free State,Sasolburg,Sexual Offences,158,121,134,144,178,144,38,14,21,27,26,1,-16.136363636363637,172.0454545454546
Gauteng,Randfontein,Sexual Offences,243,226,220,220,222,205,162,163,114,88,104,1,-15.809090909090898,257.8636363636363
Gauteng,Pretoria West,Sexual Offences,117,118,183,294,636,95,83,77,82,68,76,1,-15.409090909090898,243.3181818181818
Limpopo,Polokwane,Sexual Offences,138,125,194,285,257,244,153,68,60,55,46,1,-15.272727272727266,224.0909090909091
Gauteng,Evaton,Sexual Offences,312,240,219,240,216,218,167,149,130,184,121,1,-15.24545454545454,275.8636363636363
Gauteng,Vanderbijlpark,Sexual Offences,208,197,173,183,148,144,104,97,81,89,66,1,-14.854545454545445,209.72727272727275
Gauteng,Temba,Sexual Offences,361,335,329,371,324,319,298,266,265,228,211,1,-14.59999999999999,373.6363636363636
Gauteng,Mamelodi East,Sexual Offences,0,167,270,258,251,168,160,169,122,113,128,1,-14.448484848484851,260.06666666666666
Gauteng,Pretoria Central,Sexual Offences,207,192,190,233,175,140,120,115,104,101,94,1,-13.436363636363629,219.09090909090912
Gauteng,Roodepoort,Sexual Offences,242,226,235,424,294,291,215,232,195,169,110,1,-13.372727272727245,306.2272727272726
Gauteng,Orange Farms,Sexual Offences,294,276,251,237,225,198,195,185,156,180,163,1,-13.254545454545449,280.8181818181818
Eastern Cape,New Brighton,Sexual Offences,269,297,239,211,224,214,188,190,208,132,151,1,-12.91818181818181,275.7727272727273
Western Cape,Strand,Sexual Offences,157,164,139,95,57,59,49,40,68,44,37,1,-12.827272727272726,146.77272727272728
Gauteng,Atteridgeville,Sexual Offences,265,238,164,172,144,135,128,147,143,108,117,1,-12.627272727272723,223.22727272727278
Gauteng,Lenasia,Sexual Offences,186,136,177,216,158,137,113,82,70,84,77,1,-12.609090909090904,193.59090909090907
Gauteng,Vosloorus,Sexual Offences,179,181,179,179,179,162,117,112,84,87,81,1,-12.245454545454539,201.22727272727275
North West,Rustenburg,Sexual Offences,218,233,279,383,338,188,203,152,142,166,204,1,-12.236363636363638,289.0000000000001
Gauteng,Rietgat,Sexual Offences,247,252,241,221,194,180,166,156,179,161,120,1,-12.209090909090902,253.50000000000003
Free State,Zamdela,Sexual Offences,0,0,0,0,0,0,134,166,107,127,93,1,-12.099999999999973,222.19999999999976
Gauteng,Wierdabrug,Sexual Offences,107,106,142,169,237,156,61,46,37,37,45,1,-12.027272727272717,164.0454545454545
Eastern Cape,Kwazakele,Sexual Offences,309,301,273,243,251,219,227,237,231,219,158,1,-11.318181818181822,299.13636363636374
Kwazulu/Natal,Phoenix,Sexual Offences,227,210,243,227,245,292,186,180,145,155,112,1,-11.290909090909082,258.45454545454544
Gauteng,Meadowlands,Sexual Offences,213,233,188,188,185,165,137,152,131,123,121,1,-10.82727272727272,221.04545454545453
Mpumalanga,Pienaar,Sexual Offences,0,0,0,0,0,0,190,169,193,145,148,1,-10.799999999999965,255.3999999999997
Eastern Cape,Queenstown,Sexual Offences,130,142,130,158,170,138,188,63,45,61,51,1,-10.41818181818182,168.09090909090912
Kwazulu/Natal,Kwadabeka,Sexual Offences,184,161,119,162,127,88,98,105,78,74,81,1,-10.26363636363636,167.40909090909088
