Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Limpopo,Westenburg,Sexual offences as result of police action,0,0,0,0,0,0,0,41,4,1,1,1,-12.300000000000006,116.30000000000004
Gauteng,Olievenhoutbosch,Sexual offences as result of police action,0,0,0,0,0,0,12,19,1,4,4,1,-3.0999999999999965,32.79999999999997
Eastern Cape,Madeira,Sexual offences as result of police action,0,0,0,0,0,0,0,0,1,0,0,1,-0.5000000000000006,4.833333333333336
Gauteng,Katlehong North,Sexual offences as result of police action,0,0,0,0,0,0,0,0,4,0,0,1,-0.39999999999999886,4.399999999999989
Free State,Zamdela,Sexual offences as result of police action,0,0,0,0,0,0,1,0,0,0,0,1,-0.19999999999999982,1.7999999999999987
North West,Hebron,Sexual offences as result of police action,0,0,0,0,0,0,0,1,0,0,0,1,-0.09999999999999991,0.9999999999999992
Gauteng,Moffatview,Sexual offences as result of police action,0,0,0,0,0,0,0,1,1,0,1,1,-0.09999999999999983,1.5999999999999985
Eastern Cape,St Francis Bay,Sexual offences as result of police action,0,0,0,0,0,0,1,0,0,0,0,1,-0.08571428571428565,0.8095238095238088
Gauteng,Diepsloot,Sexual offences as result of police action,0,0,0,0,0,0,0,1,0,0,0,1,-0.028571428571428588,0.38095238095238104
Western Cape,Uniondale,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Mpumalanga Kzn,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Mpophomeni,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Free State,Heuningspruit,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Eastern Cape,Henderson,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Northern Cape,Heuningvlei,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Free State,Steunmekaar,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Eastern Cape,Moyeni,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Umbumbulu,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Eastern Cape,Mpisi,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Helpmekaar,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Northern Cape,Kanoneiland,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Mpungamhlophe,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Western Cape,Heidelberg(C),Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Eastern Cape,Msobomvu,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Eastern Cape,Sterkstroom,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Hattingspruit,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Northern Cape,Hartswater,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Mpumalanga,Hartebeeskop,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Upper Tugela,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Muden,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Kwazulu/Natal,Harburg,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Western Cape,Harare,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Northern Cape,Hanover,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Eastern Cape,Hankey,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
Gauteng,Hekpoort,Sexual offences as result of police action,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
